id_odsp,season,fthg,ftag,odd_h,odd_d,odd_a,D1_league_binary,E0_league_binary,F1_league_binary,I1_league_binary,SP1_league_binary,england_country_binary,france_country_binary,germany_country_binary,italy_country_binary,spain_country_binary,1_11_OpenPlay_Situation,1_11_time,1_11_Pass_AssistMethod,1_11_Attempt(shot)_EventType,1_11_OffTarget_ShotOutcome,1_11_KeyPass_EventType2,1_11_home_event,1_11_None_AssistMethod,1_11_Corner_EventType,1_11_Foul_EventType,1_11_FreeKickWon_EventType,1_11_HandBall_EventType,11_21_FreeKickWon_EventType,11_21_time,11_21_home_event,11_21_None_AssistMethod,11_21_OpenPlay_Situation,11_21_Pass_AssistMethod,11_21_Attempt(shot)_EventType,11_21_OffTarget_ShotOutcome,11_21_KeyPass_EventType2,11_21_Foul_EventType,11_21_OnTarget_ShotOutcome,11_21_Blocked_ShotOutcome,11_21_HitThePost_ShotOutcome,11_21_Corner_EventType,21_31_OpenPlay_Situation,21_31_time,21_31_home_event,21_31_Attempt(shot)_EventType,21_31_Blocked_ShotOutcome,21_31_None_AssistMethod,21_31_Corner_EventType,21_31_Cross_AssistMethod,21_31_KeyPass_EventType2,21_31_OnTarget_ShotOutcome,21_31_FreeKickWon_EventType,21_31_Foul_EventType,21_31_Pass_AssistMethod,21_31_OffTarget_ShotOutcome,31_41_time,31_41_None_AssistMethod,31_41_Corner_EventType,31_41_Foul_EventType,31_41_home_event,31_41_FreeKickWon_EventType,31_41_OpenPlay_Situation,31_41_Attempt(shot)_EventType,31_41_OffTarget_ShotOutcome,31_41_Cross_AssistMethod,31_41_KeyPass_EventType2,41_51_time,41_51_Foul_EventType,41_51_None_AssistMethod,41_51_Substitution_EventType,41_51_home_event,41_51_Offside_EventType,41_51_FailedThroughBall_EventType2,41_51_OpenPlay_Situation,41_51_fast_break,41_51_Pass_AssistMethod,41_51_Attempt(shot)_EventType,41_51_OffTarget_ShotOutcome,41_51_KeyPass_EventType2,41_51_YellowCard_EventType,41_51_FreeKickWon_EventType,41_51_Corner_EventType,41_51_OnTarget_ShotOutcome,51_61_Corner_Situation,51_61_time,51_61_home_event,51_61_Attempt(shot)_EventType,51_61_OnTarget_ShotOutcome,51_61_None_AssistMethod,51_61_Foul_EventType,51_61_FreeKickWon_EventType,51_61_Corner_EventType,51_61_OpenPlay_Situation,51_61_HeadedPass_AssistMethod,51_61_Blocked_ShotOutcome,51_61_KeyPass_EventType2,61_71_FreeKickWon_EventType,61_71_time,61_71_None_AssistMethod,61_71_home_event,61_71_Foul_EventType,61_71_Corner_EventType,61_71_OpenPlay_Situation,61_71_Attempt(shot)_EventType,61_71_Blocked_ShotOutcome,71_81_time,71_81_None_AssistMethod,71_81_Corner_EventType,71_81_OpenPlay_Situation,71_81_Cross_AssistMethod,71_81_Attempt(shot)_EventType,71_81_Blocked_ShotOutcome,71_81_KeyPass_EventType2,71_81_FreeKickWon_EventType,71_81_home_event,71_81_Offside_EventType,71_81_FailedThroughBall_EventType2,71_81_Foul_EventType,71_81_YellowCard_EventType,81_91_FreeKickWon_EventType,81_91_time,81_91_None_AssistMethod,81_91_home_event,81_91_Foul_EventType,81_91_Offside_EventType,81_91_FailedThroughBall_EventType2,81_91_Substitution_EventType,81_91_Corner_EventType,91_101_time,91_101_None_AssistMethod,91_101_Corner_EventType,91_101_OpenPlay_Situation,91_101_Cross_AssistMethod,91_101_Attempt(shot)_EventType,91_101_Blocked_ShotOutcome,91_101_KeyPass_EventType2,91_101_Corner_Situation,91_101_OnTarget_ShotOutcome,91_101_Pass_AssistMethod,91_101_Foul_EventType,91_101_FreeKickWon_EventType,91_101_home_event,91_101_FreeKick_Situation,91_101_OffTarget_ShotOutcome,1-time,1_11_ThroughBall_AssistMethod,1_11_OnTarget_ShotOutcome,1_11_Offside_EventType,1_11_FailedThroughBall_EventType2,11_21_HandBall_EventType,21_31_Offside_EventType,21_31_FailedThroughBall_EventType2,21_31_YellowCard_EventType,31_41_Offside_EventType,31_41_FailedThroughBall_EventType2,31_41_Pass_AssistMethod,31_41_OnTarget_ShotOutcome,41_51_Blocked_ShotOutcome,51_61_Offside_EventType,51_61_FailedThroughBall_EventType2,51_61_Pass_AssistMethod,51_61_OffTarget_ShotOutcome,61_71_FreeKick_Situation,61_71_OffTarget_ShotOutcome,61_71_Substitution_EventType,61_71_Pass_AssistMethod,61_71_KeyPass_EventType2,61_71_Corner_Situation,61_71_Cross_AssistMethod,61_71_Offside_EventType,61_71_FailedThroughBall_EventType2,71_81_OnTarget_ShotOutcome,71_81_Pass_AssistMethod,71_81_OffTarget_ShotOutcome,71_81_HitThePost_ShotOutcome,81_91_OpenPlay_Situation,81_91_Pass_AssistMethod,81_91_Attempt(shot)_EventType,81_91_Blocked_ShotOutcome,81_91_KeyPass_EventType2,81_91_OnTarget_ShotOutcome,91_101_Substitution_EventType,91_101_HeadedPass_AssistMethod,91_101_YellowCard_EventType,1_11_Blocked_ShotOutcome,1_11_Cross_AssistMethod,11_21_HeadedPass_AssistMethod,11_21_Offside_EventType,11_21_FailedThroughBall_EventType2,21_31_SetPiece_Situation,31_41_YellowCard_EventType,41_51_ThroughBall_AssistMethod,51_61_Cross_AssistMethod,61_71_HeadedPass_AssistMethod,61_71_OnTarget_ShotOutcome,81_91_FreeKick_Situation,81_91_HitThePost_ShotOutcome,91_101_Offside_EventType,91_101_FailedThroughBall_EventType2,11_21_YellowCard_EventType,11_21_Corner_Situation,11_21_Cross_AssistMethod,31_41_Blocked_ShotOutcome,41_51_HandBall_EventType,41_51_SetPiece_Situation,61_71_HandBall_EventType,61_71_YellowCard_EventType,71_81_Substitution_EventType,81_91_Cross_AssistMethod,81_91_OffTarget_ShotOutcome,81_91_YellowCard_EventType,11_21_SetPiece_Situation,31_41_HeadedPass_AssistMethod,51_61_HandBall_EventType,11_21_FreeKick_Situation,21_31_ThroughBall_AssistMethod,21_31_Corner_Situation,31_41_SetPiece_Situation,41_51_Cross_AssistMethod,51_61_YellowCard_EventType,51_61_FreeKick_Situation,51_61_ThroughBall_AssistMethod,31_41_Corner_Situation,31_41_HandBall_EventType,41_51_Corner_Situation,51_61_SetPiece_Situation,61_71_fast_break,1_11_Corner_Situation,11_21_fast_break,31_41_FreeKick_Situation,91_101_SetPiece_Situation,41_51_FreeKick_Situation,81_91_OwnGoal_EventType2,91_101_fast_break,71_81_ThroughBall_AssistMethod,81_91_Corner_Situation,1_11_YellowCard_EventType,51_61_Substitution_EventType,51_61_fast_break,61_71_SetPiece_Situation,71_81_HeadedPass_AssistMethod,71_81_SetPiece_Situation,21_31_PenaltyConceded_EventType,21_31_HandBall_EventType,31_41_PenaltyConceded_EventType,71_81_HandBall_EventType,81_91_HandBall_EventType,11_21_ThroughBall_AssistMethod,31_41_ThroughBall_AssistMethod,41_51_HeadedPass_AssistMethod,1_11_FreeKick_Situation,11_21_OwnGoal_EventType2,51_61_PenaltyConceded_EventType,1_11_HeadedPass_AssistMethod,71_81_PenaltyConceded_EventType,91_101_HandBall_EventType,81_91_HeadedPass_AssistMethod,21_31_FreeKick_Situation,21_31_Substitution_EventType,41_51_HitThePost_ShotOutcome,71_81_Corner_Situation,91_101_HitThePost_ShotOutcome,1_11_fast_break,1_11_Substitution_EventType,41_51_PenaltyConceded_EventType,61_71_ThroughBall_AssistMethod,81_91_SetPiece_Situation,1_11_HitThePost_ShotOutcome,21_31_HeadedPass_AssistMethod,11_21_PenaltyConceded_EventType,21_31_HitThePost_ShotOutcome,71_81_SendingOff_EventType2,81_91_ThroughBall_AssistMethod,91_101_ThroughBall_AssistMethod,1_11_SetPiece_Situation,21_31_fast_break,51_61_HitThePost_ShotOutcome,81_91_fast_break,41_51_StraightRedCard_EventType,41_51_SendingOff_EventType2,71_81_StraightRedCard_EventType,91_101_SendingOff_EventType2,31_41_fast_break,61_71_PenaltyConceded_EventType,61_71_StraightRedCard_EventType,61_71_SendingOff_EventType2,81_91_StraightRedCard_EventType,81_91_SendingOff_EventType2,1_11_OwnGoal_EventType2,71_81_fast_break,11_21_Substitution_EventType,31_41_Substitution_EventType,71_81_FreeKick_Situation,81_91_PenaltyConceded_EventType,61_71_HitThePost_ShotOutcome,11_21_StraightRedCard_EventType,11_21_SendingOff_EventType2,51_61_SendingOff_EventType2,51_61_StraightRedCard_EventType,31_41_HitThePost_ShotOutcome,31_41_OwnGoal_EventType2,1_11_PenaltyConceded_EventType,91_101_StraightRedCard_EventType,21_31_SendingOff_EventType2,21_31_OwnGoal_EventType2,91_101_PenaltyConceded_EventType,21_31_StraightRedCard_EventType,31_41_StraightRedCard_EventType,31_41_SendingOff_EventType2,71_81_OwnGoal_EventType2,61_71_OwnGoal_EventType2,41_51_OwnGoal_EventType2,1_11_StraightRedCard_EventType,1_11_SendingOff_EventType2,91_101_OwnGoal_EventType2,51_61_OwnGoal_EventType2,81_91_SecondYellowCard_EventType,41_51_SecondYellowCard_EventType,71_81_SecondYellowCard_EventType,31_41_SecondYellowCard_EventType,51_61_SecondYellowCard_EventType,91_101_SecondYellowCard_EventType,61_71_SecondYellowCard_EventType,CLASS
UFot0hit/,2012,3,1,1.56,4.41,7.42,1,0,0,0,0,0,0,1,0,0,1,78,1,1,1,1,4,9,3,3,2,1,2,188,7,7,5,3,5,1,3,2,1,2,1,1,4,281,8,4,1,7,1,1,3,2,3,2,2,1,357,9,1,3,5,3,3,3,3,1,1,454,2,8,2,5,1,1,2,1,2,2,1,2,1,1,1,1,1,521,7,2,1,9,3,3,2,1,1,1,1,4,587,10,4,4,1,1,1,1,667,9,1,1,1,1,1,1,2,3,1,1,3,2,3,741,10,4,2,1,1,3,1,811,8,1,2,1,4,1,2,1,2,1,3,2,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
bkjpaC6n/,2012,2,0,1.83,4.2,4.8,1,0,0,0,0,0,0,1,0,0,1,39,,1,,1,6,9,,5,3,,4,97,4,10,1,,1,,,2,,1,,2,,165,4,,,10,,,,,3,4,,,245,9,,2,4,5,1,1,,,1,332,3,8,,5,1,1,2,,2,2,,2,,3,1,1,,404,7,1,,9,3,4,1,1,,,1,1,468,8,7,2,1,1,3,1,534,7,1,3,2,3,,3,2,3,2,2,2,,4,594,8,8,2,,,1,,687,9,1,2,,2,2,1,,,,3,2,6,,,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,3,2,3,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CzPV312a/,2012,0,1,1.55,4.5,9.4,0,0,1,0,0,0,1,0,0,0,2,67,1,2,1,2,4,8,,3,5,,3,169,5,8,2,1,2,1,2,3,1,,,,1,253,4,2,,8,1,2,2,1,3,3,,1,317,10,,3,5,3,,,,,,415,2,8,,6,2,2,2,,1,2,1,2,,1,3,,,480,8,3,,7,2,3,1,3,,1,3,2,566,8,3,2,2,2,3,1,644,9,1,1,,1,,1,4,5,1,1,3,,2,723,10,6,2,,,2,1,812,8,2,2,,2,,2,,1,2,1,1,5,,1,2,,,,,,,,1,3,3,,,1,1,1,2,2,,1,1,,2,1,1,,,1,1,,,2,,3,1,,1,3,,,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
GUOdmtII/,2012,1,0,2.5,3.4,3.45,0,0,1,0,0,0,1,0,0,0,3,60,1,3,2,2,6,8,,3,4,,3,183,3,9,,,1,1,1,3,,,,2,2,260,4,2,,8,2,1,2,,2,3,1,2,353,4,2,,6,1,6,6,2,2,6,436,3,9,,3,,,3,,1,4,1,1,,2,,2,,606,5,3,3,8,1,1,4,3,,,2,3,718,10,6,3,,,,,820,10,,1,,1,1,,4,6,,,3,,1,887,8,4,1,,,,4,,,,,,,,,,,,,,,,,1,,,,,,1,1,,1,1,4,3,1,1,1,1,,,,2,,,,,,,,,,,3,1,3,1,2,1,,,,1,1,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
lOpzwMkp/,2012,0,1,2.06,3.75,3.95,1,0,0,0,0,0,0,1,0,0,,40,,,,,4,10,1,4,4,1,3,98,5,10,1,,3,3,,4,,,,,,147,5,,,10,,,,,4,4,,,248,8,1,3,3,4,2,2,,,2,346,4,9,,4,,,1,,1,1,1,1,,4,1,,,396,5,,,10,4,5,,,,,,4,443,10,5,4,,,,,472,9,,2,,2,1,1,4,4,,,4,,4,516,9,4,2,1,1,,,613,8,,2,1,2,,2,,2,1,4,3,4,,,2,,,,,,1,1,1,,,1,1,,,,,,,,1,,,,,,,1,1,,,2,1,2,,1,2,,,,,,,,,,,,,,,,,1,1,,1,,1,,,,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
M7PhlM2C/,2012,2,2,2.29,3.25,3.85,0,0,1,0,0,0,1,0,0,0,1,66,,1,1,,6,10,,3,4,,2,168,3,9,1,1,4,2,1,2,1,1,,2,3,234,2,4,1,7,3,1,3,1,1,2,,2,288,9,1,3,6,4,,1,1,1,1,348,3,8,,5,,,2,,1,2,1,2,1,3,1,1,,402,6,3,1,8,2,4,,2,,,2,2,486,8,7,2,2,2,2,,587,9,1,4,,4,1,1,2,7,,,2,,,683,6,9,1,1,1,1,2,777,6,4,3,2,4,1,4,1,1,2,,1,10,,2,2,,,2,2,,,,,,,,,,,,1,2,,,1,2,2,,,1,1,1,1,2,,5,3,5,2,4,1,1,,,,,,,,,1,,,,2,,,,,,2,,,,,,,1,1,2,,,,,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
QuWqjrYa/,2012,0,2,2.8,3.1,3.05,0,0,1,0,0,0,1,0,0,0,1,52,,1,,1,6,9,,4,4,,3,159,6,8,1,1,2,1,2,2,,1,,3,1,212,4,1,,9,1,1,1,1,4,4,,,285,9,3,2,7,1,,2,2,1,1,365,1,8,,8,,,3,,,4,1,2,1,2,2,1,,428,4,4,2,7,3,3,,3,,,3,2,514,9,5,2,3,1,1,,585,9,1,3,,3,1,1,3,4,,,3,,1,670,6,7,2,,,2,1,747,6,,5,,5,1,4,,3,3,1,1,4,,1,1,,1,1,1,,,,,1,1,,,2,,,1,2,,1,,1,1,,,1,1,2,1,,,4,1,4,1,4,,3,1,,,1,,,,,,,2,,,,,,,,1,1,,,,,1,,3,3,,,,,,,,,2,,,,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
UBZQ4smg/,2012,1,3,4.5,3.55,2,0,0,1,0,0,0,1,0,0,0,1,57,1,3,1,2,8,8,3,2,1,,2,119,7,7,3,2,4,2,3,1,1,1,,3,2,174,6,2,1,10,1,,,1,3,3,,,246,8,3,2,5,2,2,3,1,1,2,309,2,9,,2,,,3,,1,5,1,1,,2,1,3,,381,4,4,,6,2,1,2,4,,2,4,3,465,8,4,2,,3,3,1,554,10,,1,,1,1,,3,5,1,1,3,1,2,648,9,7,2,2,2,,3,742,8,1,2,,3,1,2,,2,2,3,2,3,,,1,,2,1,1,,1,1,,,,1,1,1,1,1,3,2,,1,1,1,2,,1,1,1,,,,,1,1,1,,1,1,1,,,,1,,,,,,,1,,1,,,,,,1,1,1,,,,,1,,,,,,,,,,,,,,,,,2,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
WQGN5NXn/,2012,1,1,3.66,3.5,2.42,0,0,1,0,0,0,1,0,0,0,2,41,1,2,2,2,6,8,,3,5,,3,129,4,8,2,1,2,1,2,5,,1,,,2,217,3,3,2,9,1,1,1,,3,3,,1,268,9,1,3,5,3,,1,1,,1,324,4,10,,4,,,,,,1,1,,,4,,,,416,4,4,2,7,1,2,2,3,,,3,2,474,7,3,2,2,3,4,1,555,10,1,,,,,,4,5,,,4,1,2,653,9,7,2,,,2,2,755,10,1,2,,2,,,,1,,3,3,4,,1,1,,,,,,,,,,,1,,,,,1,2,,,,2,3,1,1,,,,,,,2,1,2,,1,1,1,,,,1,,,,,2,,2,,3,,,,,,,1,,1,,,,,,,,,,,,,1,,,1,,,,,,1,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
x4HJ63It/,2012,3,1,2.12,3.3,4.44,0,0,1,0,0,0,1,0,0,0,3,62,2,3,1,2,5,8,1,2,2,,4,156,4,9,1,1,1,1,1,4,,,,1,3,243,6,4,,7,1,1,3,1,2,2,2,3,308,9,2,3,3,3,2,2,,1,1,364,4,10,,5,,,,,,1,,,,4,,1,1,432,4,3,1,8,3,2,1,2,,,2,2,523,8,5,1,1,5,5,2,591,8,,3,,3,1,2,3,5,,,3,,3,658,9,4,3,,,,2,711,10,,1,,1,1,,,,,4,4,5,,,1,,2,2,2,,1,1,,,,,1,,1,1,2,2,,1,1,2,2,,,,,,1,2,,1,,2,,1,1,,,1,,,,,,,,,,,2,,,,,,,,1,1,,,,1,1,1,,,,,,,1,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
