State,Population,Area,Housing Units
Alabama,4779736,2171853,52420.07
Alaska,710231,306967,665384.04
Arizona,6392017,2844526,113990.3
Arkansas,2915918,1316299,53178.55
California,37253956,13680081,163694.74
Colorado,5029196,2212898,104093.67
Connecticut,3574097,1487891,5543.41
Delaware,897934,405885,2488.72
District of Columbia,601723,296719,68.34
Florida,18801310,8989580,65757.7
Georgia,9687653,4088801,59425.15
Hawaii,1360301,519508,10931.72
Idaho,1567582,667796,83568.95
Illinois,12830632,5296715,57913.55
Indiana,6483802,2795541,36419.55
Iowa,3046355,1336417,56272.81
Kansas,2853118,1233215,82278.36
Kentucky,4339367,1927164,40407.8
Louisiana,4533372,1964981,52378.13
Maine,1328361,721830,35379.74
Maryland,5773552,2378814,12405.93
Massachusetts,6547629,2808254,10554.39
Michigan,9883640,4532233,96713.51
Minnesota,5303925,2347201,86935.83
Mississippi,2967297,1274719,48431.78
Missouri,5988927,2712729,69706.99
Montana,989415,482825,147039.71
Nebraska,1826341,796793,77347.81
Nevada,2700551,1173814,110571.82
New Hampshire,1316470,614754,9349.16
New Jersey,8791894,3553562,8722.58
New Mexico,2059179,901388,121590.3
New York,19378102,8108103,54554.98
North Carolina,9535483,4327528,53819.16
North Dakota,672591,317498,70698.32
Ohio,11536504,5127508,44825.58
Oklahoma,3751351,1664378,69898.87
Oregon,3831074,1675562,98378.54
Pennsylvania,12702379,5567315,46054.34
Rhode Island,1052567,463388,1544.89
South Carolina,4625364,2137683,32020.49
South Dakota,814180,363438,77115.68
Tennessee,6346105,2812133,42144.25
Texas,25145561,9977436,268596.46
Utah,2763885,979709,84896.88
Vermont,625741,322539,9616.36
Virginia,8001024,3364939,42774.93
Washington,6724540,2885677,71297.95
West Virginia,1852994,881917,24230.04
Wisconsin,5686986,2624358,65496.38
Wyoming,563626,261868,97813.01
Puerto Rico,3725789,1636946,5324.84
