,id,count-2033-1,count-2033-2,count-2033-3,count-2033-4,count-2033-5,count-2033-6,count-2033-7,count-2033-8,count-2033-9,count-2033-10,count-2033-11,count-2033-12,count-2034-1,count-2034-2,count-2034-3,count-2034-4,count-2034-5,count-2034-6,count-2034-7,count-2034-8,count-2034-9,count-2034-10,count-2034-11,count-2034-12,volume-2033-1,volume-2033-2,volume-2033-3,volume-2033-4,volume-2033-5,volume-2033-6,volume-2033-7,volume-2033-8,volume-2033-9,volume-2033-10,volume-2033-11,volume-2033-12,volume-2034-1,volume-2034-2,volume-2034-3,volume-2034-4,volume-2034-5,volume-2034-6,volume-2034-7,volume-2034-8,volume-2034-9,volume-2034-10,volume-2034-11,volume-2034-12,4-mac,4-mav,5-mac,5-mav,6-mac,6-mav,7-mac,7-mav,8-mac,8-mav,9-mac,9-mav,10-mac,10-mav,11-mac,11-mav,12-mac,12-mav
0,faa029c6b0,0,0,0,0,0,0,0,11,38,20,11,45,28,34,36,29,19,25,28,38,34,30,83,35,0,0,0,0,0,0,0,218133,454400,309162,170170,766358,483214,667433,539391,618490,401317,422276,639421,488288,707890,557971,1071722,585480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,ed7a7d91aa,0,0,0,0,0,0,0,0,0,0,1,1,2,4,2,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,6492,11280,19849,125012,12984,60359,0,0,0,0,0,0,3039,32321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,5608f200cf,0,0,1,167,536,928,1130,1334,1495,1441,1496,1570,1588,1699,1708,1680,1614,1463,1302,1116,938,881,756,669,0,0,820,134418,438650,760716,925063,1092960,1226809,1183121,1228271,1287838,1300139,1394634,1398347,1378177,1322792,1198018,1068464,914794,767811,723110,618212,548407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,15b1a0d61e,0,0,0,0,0,0,0,0,0,2,29,36,34,28,43,33,30,44,35,47,42,38,39,41,0,0,0,0,0,0,0,0,0,9380,199097,214820,243288,144722,274648,167136,185198,252391,215359,251921,224073,209129,182934,229802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,4770051790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,118,138,131,113,18,6,3,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553842,4937844,5163063,6530247,4545146,637359,297436,1373250,1958891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,3fc4f08d9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,126,40,944,1527,913,11,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,953905,369009,174241,5784087,9394704,5595628,67625,163724,34502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,1c8b539073,0,0,48,46,70,18,6,34,12,3,27,1,1,48,22,20,22,10,66,14,13,17,50,36,0,0,83082,95824,133203,30860,63790,93128,39431,10031,60432,2418,6096,106041,69411,83380,67601,37393,223368,54552,43028,53166,180802,168479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,77f961f9b3,0,0,0,0,0,0,6,4,6,2,51,39,63,0,1,7,43,28,2,2,2,5,15,12,0,0,0,0,0,0,67455,1557446,748875,451019,15116279,12803390,21706912,0,1148802,224785,1348301,769945,37491,1719846,279834,195652,1232190,2154669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,9cb79b7700,0,0,0,0,0,1,0,0,12,29,33,17,42,30,40,32,38,41,29,35,42,62,63,69,0,0,0,0,0,20078,0,0,403267,700499,877883,500947,1199221,710161,1028678,851127,966966,920889,707478,813479,1017034,1625790,1588674,1890792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
0,2f95149dc3,0,0,0,0,0,0,0,37,128,88,44,30,51,15,5,20,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,220627,861144,600881,268519,284670,329196,102948,42322,171143,22214,20751,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
