id,count-2033-1,count-2033-2,count-2033-3,count-2033-4,count-2033-5,count-2033-6,count-2033-7,count-2033-8,count-2033-9,count-2033-10,count-2033-11,count-2033-12,count-2034-1,count-2034-2,count-2034-3,count-2034-4,count-2034-5,count-2034-6,count-2034-7,count-2034-8,count-2034-9,count-2034-10,count-2034-11,count-2034-12,volume-2033-1,volume-2033-2,volume-2033-3,volume-2033-4,volume-2033-5,volume-2033-6,volume-2033-7,volume-2033-8,volume-2033-9,volume-2033-10,volume-2033-11,volume-2033-12,volume-2034-1,volume-2034-2,volume-2034-3,volume-2034-4,volume-2034-5,volume-2034-6,volume-2034-7,volume-2034-8,volume-2034-9,volume-2034-10,volume-2034-11,volume-2034-12
faa029c6b0,0,0,0,0,0,0,0,11,38,20,11,45,28,34,36,29,19,25,28,38,34,30,83,35,0,0,0,0,0,0,0,218133,454400,309162,170170,766358,483214,667433,539391,618490,401317,422276,639421,488288,707890,557971,1071722,585480
ed7a7d91aa,0,0,0,0,0,0,0,11,38,20,1,1,2,4,2,1,19,25,28,38,34,30,1,4,0,0,0,0,0,0,0,218133,454400,309162,6492,11280,19849,125012,12984,60359,401317,422276,639421,488288,707890,557971,3039,32321
5608f200cf,0,0,1,167,536,928,1130,1334,1495,1441,1496,1570,1588,1699,1708,1680,1614,1463,1302,1116,938,881,756,669,0,0,820,134418,438650,760716,925063,1092960,1226809,1183121,1228271,1287838,1300139,1394634,1398347,1378177,1322792,1198018,1068464,914794,767811,723110,618212,548407
15b1a0d61e,0,0,1,167,536,928,1130,1334,1495,2,29,36,34,28,43,33,30,44,35,47,42,38,39,41,0,0,820,134418,438650,760716,925063,1092960,1226809,9380,199097,214820,243288,144722,274648,167136,185198,252391,215359,251921,224073,209129,182934,229802
4770051790,0,0,1,167,536,928,1130,1334,1495,2,29,36,34,28,43,13,118,138,131,113,18,6,3,34,0,0,820,134418,438650,760716,925063,1092960,1226809,9380,199097,214820,243288,144722,274648,553842,4937844,5163063,6530247,4545146,637359,297436,1373250,1958891
3fc4f08d9d,0,0,1,167,536,928,1130,1334,1495,2,29,36,34,28,43,372,126,40,944,1527,913,11,12,7,0,0,820,134418,438650,760716,925063,1092960,1226809,9380,199097,214820,243288,144722,274648,953905,369009,174241,5784087,9394704,5595628,67625,163724,34502
1c8b539073,0,0,48,46,70,18,6,34,12,3,27,1,1,48,22,20,22,10,66,14,13,17,50,36,0,0,83082,95824,133203,30860,63790,93128,39431,10031,60432,2418,6096,106041,69411,83380,67601,37393,223368,54552,43028,53166,180802,168479
77f961f9b3,0,0,48,46,70,18,6,4,6,2,51,39,63,48,1,7,43,28,2,2,2,5,15,12,0,0,83082,95824,133203,30860,67455,1557446,748875,451019,15116279,12803390,21706912,106041,1148802,224785,1348301,769945,37491,1719846,279834,195652,1232190,2154669
9cb79b7700,0,0,48,46,70,1,6,4,12,29,33,17,42,30,40,32,38,41,29,35,42,62,63,69,0,0,83082,95824,133203,20078,67455,1557446,403267,700499,877883,500947,1199221,710161,1028678,851127,966966,920889,707478,813479,1017034,1625790,1588674,1890792
2f95149dc3,0,0,48,46,70,1,6,37,128,88,44,30,51,15,5,20,4,5,29,35,42,62,63,69,0,0,83082,95824,133203,20078,67455,220627,861144,600881,268519,284670,329196,102948,42322,171143,22214,20751,707478,813479,1017034,1625790,1588674,1890792
1ddaea9838,244,293,366,337,409,390,387,513,440,483,437,386,445,450,591,622,808,773,674,673,578,686,574,483,769878,910673,1154696,1166958,1328404,1174487,1232122,1608771,1587420,1801384,1513683,1688906,1504130,1534419,1870801,2150887,2711224,2654662,2452663,2236701,2043880,2383019,2111914,1851863
7e696e1b23,244,293,366,21,38,47,48,53,48,34,99,122,116,99,101,90,112,88,98,86,79,76,141,80,769878,910673,1154696,67600,283859,245741,195274,284894,314278,188330,729194,553285,557144,276934,426918,471298,637980,378408,452824,302310,345894,295971,1220564,327948
4647d230cc,244,293,366,21,38,47,48,53,48,34,817,1062,966,726,1337,560,599,414,590,661,809,517,394,155,769878,910673,1154696,67600,283859,245741,195274,284894,314278,188330,13211680,12347603,9652835,7234452,11119691,5930744,6852463,4347238,5233072,5009609,5746191,3606894,2926907,951515
64a4b88755,244,293,1,21,38,1,554,213,48,98,444,429,545,593,683,647,170,414,590,661,809,517,394,155,769878,910673,604313,67600,283859,2438,3740398,1401262,314278,1078688,4166211,4125464,5098380,5814128,6343665,6275270,1558974,4347238,5233072,5009609,5746191,3606894,2926907,951515
4f65280858,244,293,1,44,184,168,184,231,388,241,252,209,303,386,351,199,162,285,336,157,251,205,390,228,769878,910673,604313,470416,2048386,1940750,1951206,2450100,4048665,2750258,2905396,2400490,2752695,3403894,3582807,2493199,2031087,2843045,3399114,1893953,2530405,2267638,3640887,2335468
4a98a5cdc1,244,112,1,44,184,168,184,231,388,241,252,209,303,386,351,199,162,285,336,157,251,205,390,228,769878,855042,604313,470416,2048386,1940750,1951206,2450100,4048665,2750258,2905396,2400490,2752695,3403894,3582807,2493199,2031087,2843045,3399114,1893953,2530405,2267638,3640887,2335468
64fa9b16be,244,112,1,44,165,133,170,171,187,153,178,177,137,164,168,185,167,176,208,165,168,144,127,111,769878,855042,604313,470416,732946,615172,743330,958800,981959,712632,913343,952954,639950,866111,908692,1042508,950016,991750,1022489,855690,923971,742255,726502,605045
207cc1c4a7,244,112,1,44,165,133,170,171,94,557,594,816,294,411,542,611,663,519,465,621,744,439,496,654,769878,855042,604313,470416,732946,615172,743330,958800,1021131,6173826,7279207,9960044,3130496,3838787,5710350,7098992,7636066,5628682,5003209,7478629,7488909,5329230,5435043,7196545
85be6b21a9,78,89,87,94,110,99,105,120,116,118,115,119,120,115,138,139,135,132,138,131,129,166,122,144,1650208,1448163,1860698,1602906,1761038,2267105,2466094,2442090,2033593,2579727,2046194,2140514,1815063,1796245,2683798,3122752,1921633,2499625,2651151,2275576,1792984,2921156,1658285,2475500
06fe79e266,78,89,87,94,110,99,105,120,116,118,115,167,272,252,286,296,337,309,325,355,325,350,262,264,1650208,1448163,1860698,1602906,1761038,2267105,2466094,2442090,2033593,2579727,2046194,527433,758877,773010,812514,987749,905121,763232,904619,892876,829156,948581,775359,864485
71c244bd28,78,89,87,94,110,99,105,9,35,11,10,4,207,237,222,210,259,198,230,347,255,384,304,178,1650208,1448163,1860698,1602906,1761038,2267105,2466094,88612,407112,108165,125237,46820,2070803,2482050,2291797,2059470,2740906,1967301,2290312,4029886,2758592,4089138,3004273,1809926
fb6a7c1709,78,89,21,25,47,38,32,46,51,29,57,166,15,11,12,22,18,23,20,24,28,24,52,166,1650208,1448163,800590,777854,2204426,1350254,965768,1848764,2446577,864265,2117345,4900317,685596,386444,437040,937287,586051,535224,596531,1019442,1043837,720963,2189686,5374097
aff06c8624,78,89,21,25,47,38,32,46,51,29,57,166,51,51,46,31,2,5,10,51,10,5,1,166,1650208,1448163,800590,777854,2204426,1350254,965768,1848764,2446577,864265,2117345,4900317,6384226,3199028,1944247,1374506,117176,628706,1434201,7728547,1836559,263965,146861,5374097
79fa8bb8fb,78,89,21,25,47,38,32,46,51,29,57,166,51,51,46,31,2,5,10,51,10,2,54,45,1650208,1448163,800590,777854,2204426,1350254,965768,1848764,2446577,864265,2117345,4900317,6384226,3199028,1944247,1374506,117176,628706,1434201,7728547,1836559,12372,149223,2718206
54970468a0,78,89,21,25,47,38,32,46,51,29,1,13,35,18,19,40,35,51,10,53,9,1285,81,71,1650208,1448163,800590,777854,2204426,1350254,965768,1848764,2446577,864265,20369,161586,506925,214979,313567,659677,476465,496962,119106,313044,89313,7335137,929116,471296
c5b09bf41e,78,89,21,94,50,59,55,62,172,78,90,88,83,26,25,42,76,52,24,46,15,37,26,27,1650208,1448163,800590,6125380,780422,1099253,815538,925520,15505667,2352321,4499398,5958748,4182433,1343262,2003411,3292877,6852853,3650504,1184452,3960377,1400595,2439548,1135828,2010355
e36cff4870,78,89,21,94,50,59,55,62,10,47,64,75,58,49,44,26,38,38,41,32,38,40,33,55,1650208,1448163,800590,6125380,780422,1099253,815538,925520,78799,468169,626976,763815,565662,380746,368879,292640,307640,343451,325039,295360,315528,359706,280678,519662
44f2b47a5e,78,89,21,94,50,59,55,62,10,47,64,75,58,49,44,26,128,38,41,32,38,40,33,55,1650208,1448163,800590,6125380,780422,1099253,815538,925520,78799,468169,626976,763815,565662,380746,368879,292640,1367087,343451,325039,295360,315528,359706,280678,519662
a9f00c4b46,226,355,162,349,50,59,20,129,917,415,284,189,88,234,300,173,128,3,25,176,435,528,267,104,796889,1704941,494493,1486268,780422,1099253,139674,897747,5015538,2181186,1590851,1045582,386827,847288,1763339,616605,1367087,3057,68500,1204111,2399354,2153413,1304970,520160
3dbbad60fb,226,355,162,349,50,59,5,7,2,7,12,36,4,4,4,12,8,3,9,12,10,8,7,25,796889,1704941,494493,1486268,780422,1099253,42267,39017,9974,60111,79367,285905,39438,19478,27220,141573,41480,23955,64077,69684,63910,58097,45734,166780
5d9b6c8df3,226,355,162,349,50,59,5,7,2,2,12,36,4,4,4,12,8,1,5,12,8,56,27,1,796889,1704941,494493,1486268,780422,1099253,42267,39017,9974,15042,79367,285905,39438,19478,27220,141573,41480,12892,48057,69684,81338,480829,235159,12709
