Country,GDP,Population
United States of America,19485.394,325.084756
People's Republic of China,12237.700479375,1421.021791
Great Britain,2637.866340434,66.727461
Japan,4872.415104315,127.502725
Australia,1323.421072479,24.58462
Italy,1943.835376342,60.673701
Germany,3693.20433223,82.658409
Netherlands,830.57261885,17.021347
France,2582.501307216,64.842509
Canada,1647.120175449,36.732095
Ukraine,112.154185121,44.487709
Brazil,2053.594877013,207.833823
Hungary,139.761138103,9.729823
New Zealand,204.139049909,4.702034
Spain,1314.314164402,46.647428
Turkey,851.549299635,81.11645
Poland,526.465839003,37.95318
Switzerland,678.965423322,8.455804
Cuba,96.851,11.339254
Kazakhstan,162.886867832,18.080019
Denmark,329.865537183,5.732274
Serbia,41.431648801,8.829628
Austria,416.835975862,8.819901
Azerbaijan,40.747792238,9.84532
Jamaica,14.781107822,2.920848
Kenya,79.263075749,50.221142
India,2650.725335364,1338.676785
Belarus,54.456465473,9.450231
Croatia,55.213087271,4.182857
Egypt,235.369129338,96.442591
Georgia,15.081338092,4.008716
Sweden,535.607385506,9.904896
Belgium,494.763551891,11.419748
Norway,399.488897844,5.296326
Iran,454.012768724,80.673883
Dominican Republic,75.931656815,10.513104
Indonesia,1015.420587285,264.650963
Mexico,1150.887823404,124.777324
Bulgaria,58.220973783,7.102444
Colombia,314.45760186,48.909839
Mongolia,11.433635876,3.113786
Armenia,11.536590636,2.944791
Ethiopia,80.561496134,106.399924
Portugal,219.308128887,10.288527
Uzbekistan,49.677172714,31.959785
Argentina,637.430331479,43.93714
Ireland,331.430014003,4.753279
Israel,353.268411919,8.243848
Philippines,313.595208737,105.172925
San Marino,1.632860041,0.033671
Slovakia,95.61767026,5.4479
Slovenia,48.769655479,2.076394
Greece,203.085551429,10.56945
Kyrgyzstan,7.564738836,6.189733
Romania,211.883923504,19.653969
Uganda,25.99503185,41.166588
Finland,252.301837573,5.511371
Jordan,40.068308451,9.785843
Malaysia,314.710259511,31.104646
Nigeria,375.745486521,190.873244
Qatar,166.928571429,2.724728
South Africa,348.87164796,57.009756
Ecuador,104.295862,16.785361
Estonia,26.611651599,1.31939
Fiji,5.061202767,0.877459
Latvia,30.463302414,1.951097
Thailand,455.302682986,69.20981
Botswana,17.406565823,2.20508
Burkina Faso,12.322864245,19.193234
Ghana,58.996776238,29.121465
Grenada,1.126882296,0.110874
Kuwait,120.126277613,4.056099
Moldova,8.128493432,4.059684
Tunisia,39.952095561,11.433443
Bahamas,12.1621,0.381755
Bahrain,35.43268617,1.494076
Lithuania,47.544459559,2.845414
Namibia,13.253698015,2.402633
North Macedonia,11.279509014,2.081996
Saudi Arabia,686.7384,33.101179
Turkmenistan,37.926285714,5.757667
Morocco,109.708728849,35.581255
