Player ID,Numer of times made above 95th % in Total Points,Numer of times made above 95th % in PPV,Average of value,Value<50,50<=Value<=100,100<Value
471,12,12,48.5,12,#N/A,#N/A
548,12,12,51.21875,#N/A,12,#N/A
202,11,12,63.75,#N/A,12,#N/A
271,13,12,57.10526316,#N/A,12,#N/A
93,11,11,47.16666667,11,#N/A,#N/A
313,9,11,65.47222222,#N/A,11,#N/A
239,12,11,78.16666667,#N/A,11,#N/A
377,9,11,58.63888889,#N/A,11,#N/A
203,9,11,54.38888889,#N/A,11,#N/A
213,11,11,46.16666667,11,#N/A,#N/A
217,14,10,84.55263158,#N/A,10,#N/A
449,9,10,51.48571429,#N/A,10,#N/A
12,14,10,50.86486486,#N/A,10,#N/A
62,12,10,48.72222222,10,#N/A,#N/A
468,5,9,50.75,#N/A,9,#N/A
215,18,9,103.4473684,#N/A,#N/A,9
113,10,9,70.77777778,#N/A,9,#N/A
168,9,9,52.55555556,#N/A,9,#N/A
570,9,9,54.375,#N/A,9,#N/A
597,9,9,44.66666667,9,#N/A,#N/A
390,14,9,94.94285714,#N/A,9,#N/A
200,12,9,48.05555556,9,#N/A,#N/A
284,9,9,62.60526316,#N/A,9,#N/A
156,10,9,50.77777778,#N/A,9,#N/A
300,10,9,49.24242424,9,#N/A,#N/A
277,13,9,58.02631579,#N/A,9,#N/A
302,16,9,111.2424242,#N/A,#N/A,9
411,12,8,51.63888889,#N/A,8,#N/A
366,8,8,48.66666667,8,#N/A,#N/A
86,8,8,43.36111111,8,#N/A,#N/A
234,5,8,43.97222222,8,#N/A,#N/A
219,10,8,74.5,#N/A,8,#N/A
198,7,8,54,#N/A,8,#N/A
295,8,8,45.19444444,8,#N/A,#N/A
87,6,8,42.61111111,8,#N/A,#N/A
131,9,8,50.25,#N/A,8,#N/A
318,8,8,43.91666667,8,#N/A,#N/A
191,14,8,124.75,#N/A,#N/A,8
514,11,8,63.02777778,#N/A,8,#N/A
474,9,8,56.77777778,#N/A,8,#N/A
388,15,8,110.9714286,#N/A,#N/A,8
516,8,8,45.13513514,8,#N/A,#N/A
417,7,8,45.08571429,8,#N/A,#N/A
74,7,8,44.47222222,8,#N/A,#N/A
67,7,8,43.38888889,8,#N/A,#N/A
96,11,8,54.7027027,#N/A,8,#N/A
201,8,8,43.91666667,8,#N/A,#N/A
233,7,8,57.14705882,#N/A,8,#N/A
45,8,8,55.33333333,#N/A,8,#N/A
275,11,8,82.02631579,#N/A,8,#N/A
23,4,8,43.62857143,8,#N/A,#N/A
211,6,8,39.66666667,8,#N/A,#N/A
105,7,8,48.61764706,8,#N/A,#N/A
541,3,7,45.58823529,7,#N/A,#N/A
381,6,7,44.22222222,7,#N/A,#N/A
494,7,7,45.75,7,#N/A,#N/A
407,8,7,44.63888889,7,#N/A,#N/A
409,10,7,76.25,#N/A,7,#N/A
618,10,7,85.33333333,#N/A,7,#N/A
91,6,7,62.05555556,#N/A,7,#N/A
172,9,7,59.52777778,#N/A,7,#N/A
308,4,7,43.75,7,#N/A,#N/A
269,7,7,49.86111111,7,#N/A,#N/A
29,8,7,61.61111111,#N/A,7,#N/A
287,6,7,47.47222222,7,#N/A,#N/A
166,11,7,95.83333333,#N/A,7,#N/A
368,6,7,55,#N/A,7,#N/A
588,6,7,55,#N/A,7,#N/A
571,9,7,45,7,#N/A,#N/A
418,6,7,44.4,7,#N/A,#N/A
435,7,7,54.14285714,#N/A,7,#N/A
455,8,7,54.05555556,#N/A,7,#N/A
273,12,7,50.55263158,#N/A,7,#N/A
235,7,7,68.44117647,#N/A,7,#N/A
91,6,7,62.59459459,#N/A,7,#N/A
11,7,7,50.71428571,#N/A,7,#N/A
157,7,7,48.58333333,7,#N/A,#N/A
57,6,7,58.16666667,#N/A,7,#N/A
8,8,7,49.88571429,7,#N/A,#N/A
6,8,7,83.17142857,#N/A,7,#N/A
24,5,7,52.57142857,#N/A,7,#N/A
20,5,7,47.55555556,7,#N/A,#N/A
301,10,7,60.40540541,#N/A,7,#N/A
109,7,7,46.11764706,7,#N/A,#N/A
128,8,7,48.77777778,7,#N/A,#N/A
132,6,7,55,#N/A,7,#N/A
342,12,6,97.44444444,#N/A,6,#N/A
431,9,6,71.97222222,#N/A,6,#N/A
355,5,6,43.30555556,6,#N/A,#N/A
368,5,6,56.77777778,#N/A,6,#N/A
362,5,6,62.36111111,#N/A,6,#N/A
377,7,6,45,6,#N/A,#N/A
502,5,6,58.69444444,#N/A,6,#N/A
388,6,6,49.36111111,6,#N/A,#N/A
417,6,6,53.94444444,#N/A,6,#N/A
393,5,6,52.30555556,#N/A,6,#N/A
463,6,6,63.69444444,#N/A,6,#N/A
395,4,6,47.75,6,#N/A,#N/A
401,11,6,61.11111111,#N/A,6,#N/A
354,6,6,43.25,6,#N/A,#N/A
320,6,6,62.47222222,#N/A,6,#N/A
254,7,6,44.58333333,6,#N/A,#N/A
233,8,6,88.02777778,#N/A,6,#N/A
28,7,6,57.27777778,#N/A,6,#N/A
291,7,6,50.77777778,#N/A,6,#N/A
42,8,6,46.83333333,6,#N/A,#N/A
220,6,6,52,#N/A,6,#N/A
47,7,6,47.22222222,6,#N/A,#N/A
235,8,6,54.55555556,#N/A,6,#N/A
70,3,6,47.77777778,6,#N/A,#N/A
265,6,6,61.5,#N/A,6,#N/A
164,9,6,48.75,6,#N/A,#N/A
307,4,6,44.41666667,6,#N/A,#N/A
189,12,6,60.22222222,#N/A,6,#N/A
323,6,6,52.44444444,#N/A,6,#N/A
192,15,6,121,#N/A,#N/A,6
